80010070	Insert Original CD
800100e8	Rating:\t%i%%\t%s\n
80010103	YOU WIN!\n
80010114	UNLOCKED:\t%s\n
80010143	YOU LOSE!\n
80010157	 to continue...
8001016f	YOU WIN!\n
800101b7	PLAYER %c WINS!\n
80010207	PLAYER TEAM WINS!\n
80010223	PLAYER TEAM LOSES!\n
80010291	 to quit
8001029c	Loading Demo Level
800102bf	 to start...
800102cc	Sounds\Victory.xa
800102e0	Sounds\Defeat.xa
8001030c	Read Address Error (%08x)
80010328	Write Address Error (%08x)
80010344	Instruction Bus Error
8001035c	Illegal Instruction
80010370	CoProcessor Unusable
80010388	Unknown Exception
800104c8	%s approaching...
8001051c	%s wrecked\nTotal it!
80010564	Nowhere to put weapon
800105a8	PU_WeaponUpgrade
80010b94	SPU:T/O [%s]\n
80010ba4	wait (reset)
80010bb4	wait (wrdy H -> L)
80010bc8	wait (dmaf clear/W)
80010d64	VSync: timeout\n
80010d74	$Id: intr.c,v 1.76 1997/02/12 12:45:05 makoto Exp $
80010da8	unexpected interrupt(%04x)\n
80010dc4	intr timeout(%04x:%04x)\n
80010de4	DMA bus error: code=%08x\n
80010e00	MADR[%d]=%08x\n
80010e14	track=%d,%d\n
80010e24	CdGetToc2: %02x:%02x:00\n
80010e40	CdGetToc2: error\n
80010e54	CdInit: Init failed\n
80010e84	CdlReadS
80010e90	CdlSeekP
80010e9c	CdlSeekL
80010ea8	CdlGetTD
80010eb4	CdlGetTN
80010ec0	CdlGetlocP
80010ecc	CdlGetlocL
80010edc	CdlSetmode
80010ee8	CdlSetfilter
80010ef8	CdlDemute
80010f04	CdlMute
80010f0c	CdlReset
80010f18	CdlPause
80010f24	CdlStop
80010f2c	CdlStandby
80010f38	CdlReadN
80010f44	CdlBackward
80010f50	CdlForward
80010f5c	CdlPlay
80010f64	CdlSetloc
80010f70	CdlNop
80010f78	CdlSync
80010f80	DiskError
80010f8c	DataEnd
80010f94	Acknowledge
80010fa0	Complete
80010fac	DataReady
80010fb8	NoIntr
80010fc0	CD timeout: 
80010fd0	%s:(%s) Sync=%s, Ready=%s\n
80010fec	DiskError: 
80010ff8	com=%s,code=(%02x:%02x)\n
80011014	CDROM: unknown intr
80011028	(%d)\n
80011048	CD_sync
80011050	CD_ready
8001105c	%s...\n
