0x8004545c	SpuStart
0x80046044	SpuInitMalloc
0x800460a4	SpuMalloc
0x80046674	SpuFree
0x800466f4	SpuRead
0x80046754	SpuSetTransferStartAddr
0x800467b4	SpuSetTransferMode
0x800467e4	SpuIsTransferCompleted
0x80046894	SpuSetCommonAttr
0x80046d84	SpuSetVoiceAttr
0x80047e44	VSync
0x80048054	ResetCallback
0x800480b4	DMACallback
0x800480e4	VSyncCallback
0x80048ad4	CdGetToc
0x80048d24	CdInit
0x80048fbc	CdReadyCallback
0x80048fd0	CdControl
0x80049240	CdControlB
0x8004938c	CdMix
0x80049430	CdIntToPos
0x80049534	CdPosToInt
0x8004b2c4	CdRead
0x8004b3c4	CdReadSync
0x8004b4c4	CdRead2
0x8004b574	CdDiskReady
0x8004b690	CdGetDiskType
0x8004c65c	InitGeom
0x8004c6e4	SquareRoot0
0x8004ccb4	MulMatrix0
0x8004d264	ApplyMatrix
0x8004d2b4	ApplyMatrixSV
0x8004d774	RotMatrixX
0x8004d914	RotMatrixY
0x8004dab4	RotMatrixYXZ_gte
0x8004ecd4	ratan2
0x8004f0e4	SetDefDrawEnv
0x8004f198	SetDefDispEnv
0x8004f204	ResetGraph
0x8004f378	SetGraphDebug
0x8004f488	DrawSyncCallback
0x8004f4e8	SetDispMask
0x8004f580	DrawSync
0x8004f704	ClearImage
0x8004f82c	LoadImage
0x8004f88c	StoreImage
0x8004f8ec	MoveImage
0x8004fa6c	ClearOTagR
0x8004fb74	DrawOTag
0x8004fbe4	PutDrawEnv
0x8004fdb0	PutDispEnv
0x800504a8	SetDrawEnv
0x80052344	MargePrim
0x800523d4	strcat
0x800524f4	strcpy
0x80052604	printf
0x80053004	sprintf
0x800539c4	OpenEvent
0x800539e4	EnableEvent
0x80053a74	SetRCnt
0x80053b10	GetRCnt
