80100008	Terrain\SkiResrt.exp
80100020	Colorado
8010002c	Ski Resort
80100038	Terrain\CanynLnd.exp
80100050	Canyonlands
8010005c	Terrain\CasnoCty.exp
80100074	Casino City
80100080	Terrain\VallyFrm.exp
80100098	California
801000a4	Valley Farms
801000b4	Terrain\HoovrDam.exp
801000cc	Arizona/Nevada
801000dc	Hoover Dam
801000e8	Terrain\WildWest.exp
80100100	Ghost Town
8010010c	Terrain\AirGrave.exp
80100124	Arizona
8010012c	Aircraft Graveyard
80100140	Terrain\OilField.exp
80100158	New Mexico
80100164	Oil Fields
80100170	Terrain\SandFact.exp
80100190	Sand Factory
801001a0	Terrain\ScrtBase.exp
801001b8	Nevada
801001c0	Secret Base
801001cc	'64 Luxo Saucer
801001dc	"Y" the Alien
801001ec	'69 Manta
801001f8	Video\Sid.str
80100208	Sid Burn
80100214	'66 School Bus
80100224	Video\Molo.str
8010023c	'70 Stag Pickup
8010024c	Video\Beezwax.str
80100260	Beezwax
80100268	'76 Leprechaun
80100278	Video\Boogie.str
8010028c	Boogie
80100294	'75 Palamino
801002a4	Video\Houston3.str
801002b8	Houston 3
801002c4	'73 Glenn 4x4
801002d4	Video\Loki.str
801002ec	'72 Moth Truck
801002fc	Video\Convoy.str
80100310	Convoy
80100318	'70 Van
80100320	Video\Dave.str
80100338	'69 Jefferson
80100348	Video\Torque.str
8010035c	John Torque
80100368	'74 Strider
80100374	Video\Sheila.str
80100388	Sheila
80100390	'70 Clydesdale
801003a0	Video\Clyde.str
801003b0	Slick Clyde
801003bc	'67 Rattler
801003c8	Video\Chassey.str
801003dc	Chassey Blue
80100403	CANCEL
80100414	Option unavailable
80100428	REPLACE CONTROLLER
80100444	Shell\Vehicles.exp
80100458	"You can taste the difference!"
80100478	"Better products for happier living!"
801004a0	"For the modern family!"
801004bc	"NEW & IMPROVED"
801004d0	"It's just what the Doctor ordered!"
801004f8	"Now, with new Terrain-o-rama!"
80100518	"Quality made entertainment"
80100538	"Others may be new, but none so truly modern!"
80100568	In LuxoColor
80100578	Deluxe
80100588	Shell\Slogan.fnt
801005a4	Video\Luxoflux.str
801005b8	Shell\Legal.bs
801005c8	PRESS START
801005d4	COOPERATIVE
801005e0	VERSUS
801005e8	ARCADE
801005f0	QUEST
801005f8	OPTIONS
80100600	2 PLAYER
8010060c	1 PLAYER
80100631	select
80100639	accept
80100647	replay
80100651	select
80100659	accept
80100661	replay
80100684	Shell\Locatns.BIN
80100698	Shell\Map.bsd
801006a8	SELECT LOCATION
801006b9	select
801006c1	accept
801006f4	QUEST ROUTE
80100701	select
80100709	accept
80100717	main menu
8010072c	Objective met: Yes
80100740	Objective met: No
80100754	Not completed
80100775	select
8010077d	accept
8010078b	main menu
801007b0	Shell\CharSel1.tbl
801007c4	CHOOSE PLAYER
801007d5	select
